,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Mauritius","Data source","All types","","","","","3.03","2.95","2.83","2.49","3.24","3.73","3.94","4.16","4.08","4.14","4.38","4.60"
"Mexico","Data source","All types","","5.26","5.23","5.29","5.30","5.21","5.27","5.36","5.35","5.11","4.93","4.90","4.88","4.77","4.86","4.99"
"Micronesia (Federated States of)","Data source","All types","","1.58","1.67","2.98","1.89","1.76","2.06","1.97","1.64","1.73","1.90","2.02","3.15","2.78","2.82","2.23"
"Monaco","","All types","","","","","","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data",""
"Monaco","Data source","All types","","","","","","","","","","","","","","","","No data"
"Mongolia","Data source","All types","","","","","","5.80","4.61","4.26","3.79","2.91","2.75","1.75","1.31","2.43","2.87","2.79"
"Montenegro","Data source","All types","","","","","6.56","6.56","6.45","6.17","4.98","5.38","No data","","","","",""
"Morocco","Data source","All types","","0.43","0.45","0.55","0.54","0.56","0.62","0.51","0.56","0.58","0.47","0.56","0.58","0.46","0.46","0.45"
"Mozambique","Data source","All types","","","1.16","1.19","0.94","0.96","1.18","1.48","1.03","1.20","1.23","1.54","1.68","2.16","2.09","1.14"
"Myanmar","Data source","All types","","","0.70","0.55","0.33","0.30","0.28","0.30","0.26","0.28","0.28","0.44","0.40","0.41","0.38","0.35"
"Namibia","Data source","All types","","","","","7.84","7.58","7.99","6.28","5.12","4.94","4.89","4.80","5.28","5.09","5.09","5.73"
"Nauru","Data source","All types","","","","","","1.10","0.97","0.95","0.98","0.97","0.96","1.04","0.87","1.01","2.14","3.21"
"Nepal","Data source","All types","","","0.27","0.26","0.27","0.24","0.22","0.21","0.20","0.20","0.20","0.21","0.20","0.19","0.09","0.08"
"Netherlands","Data source","All types","","","8.68","9.05","8.96","9.33","9.23","9.62","9.53","9.79","9.69","9.56","9.56","9.68","9.95","10.06"
"New Zealand","Data source","All types","8.70","9.07","9.18","9.20","9.47","9.62","9.24","9.49","9.19","9.34","9.31","9.15","8.91","9.13","8.75","8.91"
"Nicaragua","Data source","All types","","3.55","3.58","3.63","3.39","3.38","3.36","3.64","3.83","3.69","3.70","3.81","3.77","3.50","3.51","3.61"
"Niger","Data source","All types","","","","","0.15","0.12","0.11","0.12","0.10","0.11","0.11","0.11","0.10","0.10","0.11","0.10"
"Nigeria","Data source","All types","","","8.30","8.54","8.75","8.90","9.05","9.30","9.55","9.66","9.71","9.76","9.75","9.61","9.58","9.23"
"Niue","Data source","All types","","","","","5.99","4.90","7.06","7.02","5.02","7.10","6.22","8.71","8.47","5.29","9.37","7.54"
"Norway","Data source","All types","5.97","6.06","6.21","6.21","6.53","6.59","6.68","6.75","6.60","6.47","6.37","6.22","6.04","5.89","5.49","5.67"
"Oman","Data source","All types","","0.40","0.46","0.51","0.54","0.56","0.56","0.57","0.57","0.58","0.63","0.61","0.56","0.54","0.55","0.38"
"Pakistan","Data source","All types","","","0.04","0.04","0.04","0.04","0.03","0.03","0.03","0.03","0.04","0.01","0.01","0.01","0.01","0.02"
"Panama","Data source","All types","","6.74","6.89","6.95","6.90","6.94","6.87","6.74","6.16","5.72","5.53","5.69","5.52","5.52","5.43","5.58"
"Papua New Guinea","Data source","All types","","","","","0.88","0.79","0.82","0.81","0.71","0.64","0.84","0.58","0.59","0.61","0.68","0.73"
"Paraguay","Data source","All types","","","5.03","5.36","5.79","5.65","5.39","6.14","5.61","5.61","6.38","6.20","6.64","5.66","6.66","6.78"
"Peru","Data source","All types","","","5.38","5.14","4.83","4.72","4.69","4.85","4.29","4.22","4.44","4.27","4.50","4.03","4.22","4.59"
"Philippines","Data source","All types","","4.52","4.61","5.02","4.96","4.85","4.42","4.21","4.19","4.08","4.22","4.45","4.44","4.42","4.54","4.73"
"Poland","Data source","All types","","10.71","11.63","10.81","10.93","10.59","10.70","11.40","10.90","10.40","9.50","9.19","9.06","8.02","7.74","8.40"
"Portugal","Data source","All types","","9.88","10.00","11.96","11.92","12.25","12.03","12.35","12.57","13.11","13.33","13.45","14.21","12.00","12.22","11.89"
"Qatar","Data source","All types","","1.15","1.20","1.13","1.16","1.16","1.11","1.37","1.24","1.28","1.18","1.11","1.00","0.87","0.76","0.50"
"Republic of Korea","Data source","All types","","","9.33","9.56","9.34","9.23","8.97","9.31","9.05","8.83","9.03","9.18","9.66","9.55","11.45","10.33"
"Republic of Moldova","Data source","All types","","9.99","10.49","10.68","9.45","8.25","8.45","9.07","9.66","8.36","10.78","12.27","8.15","6.71","10.98","9.89"
"Romania","Data source","All types","","","9.59","9.58","9.10","9.00","10.40","11.90","10.60","8.51","7.68","9.82","8.78","9.62","9.78","10.16"
"Russian Federation","Data source","All types","","10.12","10.58","10.99","11.04","11.05","11.21","12.04","12.19","11.79","11.57","11.50","11.32","10.87","10.47","10.18"
"Rwanda","Data source","All types","","","","","8.34","7.92","7.11","6.39","6.78","6.88","7.01","6.75","6.66","7.82","5.72","7.13"
